INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
0,Ndoshta OKB-ja mund të flasë me ato vende aziatike dhe afrikane që janë përgjegjëse për mbi 90% të ndotjes së oqeaneve në vend që të këmbëngulë në këtë budallallëk për ndryshimet klimatike.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",other,V1
1,"‘Lëngu (Hebrenjtë) janë më keq se bombat bërthamore.’ Titulli i një meme që tregon Hiroshimën në 1945 dhe sot, në kontrast me fotografitë e Detroitit në 1945 dhe sot.",You'd rather be nuked then?,JEWS,V1
2,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",MIGRANTS,V1
3,"Hebrenjtë nuk mund të jenë patriotë, pasi besnikëria e tyre do të jetë gjithmonë ndaj shtetit të Izraelit.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",JEWS,V1
4,"Izraeli, Sionizmi dhe kontrolli supremacist hebre mbi Amerikën janë shkaqet kryesore të terrorizmit, paqëndrueshmërisë dhe konflikteve në botë. Të gjitha teoritë e tjera janë shmangie nga kjo e vërtetë përfundimtare.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,JEWS,V1
5,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,WOMEN,V1
6,Numri i të huajve që marrin përfitime në MB është rritur me 41% në 5 vitet e fundit me mbi 400 mijë që marrin pagesa. Kjo marrëzi duhet të ndalet.,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.",MIGRANTS,V1
7,"Raca është një konstrukt shoqëror, dhe nëse sheh ndonjë ndryshim mes këtyre dy grave, është sepse ke një sëmundje mendore. [imazh që tregon një atlete femër europiane bjonde, krahas një gruaje afrikane me pjatë buzësh]","Women are women the world over, full stop.",POC,V1
8,"Kush dreqin je ti? Jemi të ngopur me Misandristet Vaginale që përpiqen të minojnë meshkujt e fuqishëm të bardhë, ndërsa vetë janë vetëm xheloze, të paafta dhe të padobishme.",Without women there would be no men.,WOMEN,V1
9,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",WIthout softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,WOMEN,V1
10,"Kush dreqin je ti? Jemi të ngopur me Misandristet Vaginale që përpiqen të minojnë meshkujt e bardhë të fuqishëm. Ato janë vetëm xheloze, të paafta dhe të padobishme.",What makes you think that women are jealous of men? What qualities do you value as a White Male?,WOMEN,V1
11,"Më bën të qesh me gjithë shpirt, pse të mos jenë të bardhët supremë në një vend kryesisht të bardhë? Pse askush nuk ankohet për supremacinë e zezë në vendet e zeza si Somalia? Apo supremacia meksikane? Apo ajo indiane? Vetëm ne durojmë këtë budallallëk.",Why do we need supremacy? We are all created equal in the eyes of God.,other,V1
12,Cili është ndryshimi mes një lope dhe Holokaustit? Ti ndalon ta mjelësh lopën pas 70 vitesh.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,JEWS,V1
13,"Filluam të shpërbëhemi kur lejuam gratë të votonin/të ndërhynin në qytetërimin që ndërtuam dhe mirëmbajtëm për mijëra vjet. Energjia dhe mënyra e tyre e mendimit është krejtësisht ndryshe. Janë të dobëta dhe e ulin shoqërinë tonë në nivelin e tyre emocional të butë.","Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",WOMEN,V1
14,"Hebrenjtë pëlqejnë të ndajnë zona për vete, ku asnjë hebre tjetër nuk lejohet të shkojë, ndërkohë që gjykatësit e tyre mbushin lagjet e bardha me banesa sociale.",Which suggests that white people like to cordon off areas for themselves...,JEWS,V1
15,"Pakicat votojnë për t'u marrë pasurinë dhe fuqinë të bardhëve dhe kjo organizohet nga Hebrenjtë.",Where is your evidence?,JEWS,V1
16,"Izraeli, Sionizmi dhe kontrolli supremacist hebre mbi Amerikën janë shkaqet kryesore të terrorizmit, paqëndrueshmërisë dhe konflikteve në botë. Të gjitha teoritë e tjera janë shmangie nga kjo e vërtetë përfundimtare.",Where are the facts?,JEWS,V1
17,"Hebrenjtë bënë: Sulmin ndaj USS Liberty, sulmin ndaj hotelit King David, New York 9/11, Londër 7/7",Where are the facts?,JEWS,V1
18,"Ekstremistët sionistë komplotojnë në Jeruzalem. Qëllimet e tyre janë të shkaktojnë kaos, masakra, vrasje, të krijojnë më shumë refugjatë dhe të shkatërrojnë Europën.",What's your proof for claiming this?,JEWS,V1
19,"Po sikur e gjithë klasa jonë drejtuese të përbëhej nga pedofilë të kontrolluar nga Hebrenjtë? Kjo do të shpjegonte shumë.",What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,JEWS,V1
20,"Hebrenjtë globalë nuk donin Brexit dhe po bëjnë gjithçka për ta sabotuar atë.",What makes you think that? Do you have any facts to back this up?,JEWS,V1
21,"Hebrenjtë bënë: Sulmin ndaj USS Liberty, sulmin ndaj hotelit King David, New York 9/11, Londër 7/7",Where is the proof of this? Looks like assumptions as opposed to facts...,JEWS,V1
22,"Një hebre amerikan, ashtu si një mysliman, është i huaj, besnik ndaj fisit të tij të lindjes, duke u shtirur si pjesë e grupit për të nënshtruar normat kulturore, politike dhe shoqërore. Nuk kemi pse të zgjedhim, është në rregull t'i urrejmë të dy.",We do have to choose. It's ok to accept them both.,other,V1
23,"Një hebre amerikan, ashtu si një mysliman, është i huaj, besnik ndaj fisit të tij të lindjes, duke u shtirur si pjesë e grupit për të nënshtruar normat kulturore, politike dhe shoqërore. Nuk kemi pse të zgjedhim, është në rregull t'i urrejmë të dy.","We can choose not to hate, and start to build bridges so we understand each other.",other,V1
24,"Sekretari i Arsimit në MB: 'Të gjithë fëmijët nga mosha 4 vjeç do të kenë mësime të detyrueshme mbi marrëdhëniet e së njëjtës gjini.' – Kjo nuk ka të bëjë me arsimin, por me ngatërrimin dhe indoktrinimin e qëllimshëm të fëmijëve dhe pengimin e zhvillimit të personaliteteve të tyre.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",LGBT+,V1
25,"Kush dreqin je ti? Jemi të ngopur me Misandristet Vaginale që përpiqen të minojnë meshkujt e fuqishëm të bardhë, ndërsa vetë janë vetëm xheloze, të paafta dhe të padobishme.","Undermine or speak their mind? Yes, women have minds and they work just as well as men's.",WOMEN,V1
26,"Qeveria e MB ka publikuar së fundmi një dokument mbi ‘Dëmet Online’ – me fjalë të tjera ata do të punojnë me organizatat hebraike dhe myslimane kundër urrejtjes për të censuruar internetin. (Duke iu referuar Tell Mama, CST dhe Stop Hate UK)",To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,other,V1
27,"Që kur është bërë përdorimi i anusit si organ seksual një ‘arritje monumentale’? KJO ËSHTË HOMOSEKSUALITET I DETYRUAR NGA SHTETI! Ndoshta duhet ta ndryshojmë moton tonë në ‘Besojmë në kamatë dhe sodomi’ (në përgjigje të dekriminalizimit të homoseksualitetit nga Botsvana)",To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+,V1
28,"Ja pse gratë nuk i përkasin politikës, nëse një burrë ankohej si ato, do të quhej frikacak dhe do t’i thuhej të largohej nga puna. Barazia është një gënjeshtër dhe feminizmi është dënimi me vdekje për çdo civilizim.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",WOMEN,V1
29,Pakistan: 202 milionë Nigeria: 193 milionë Bangladesh: 165 milionë Etiopi: 107 milionë Kongo: 84 milionë Britania e Madhe: 66 milionë ‘Pakicat etnike’ Mos më bëj të qesh me gjithë shpirt!,"this is correct, but their percentage of the population within Great Britain makes them a minority",MIGRANTS,V1
30,"Sekretari i Arsimit në MB: 'Të gjithë fëmijët nga mosha 4 vjeç do të kenë mësime të detyrueshme mbi marrëdhëniet e së njëjtës gjini.' – Kjo nuk ka të bëjë me arsimin, por me ngatërrimin dhe indoktrinimin e qëllimshëm të fëmijëve dhe pengimin e zhvillimit të personaliteteve të tyre.","This is about teaching children about the world they live in, and helping them get on with others.",LGBT+,V1
31,Pakistan: 202 milionë Nigeria: 193 milionë Bangladesh: 165 milionë Etiopi: 107 milionë Kongo: 84 milionë Britania e Madhe: 66 milionë ‘Pakicat etnike’ Mos më bëj të qesh me gjithë shpirt!,"These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights.",MIGRANTS,V1
32,Pakistan: 202 milionë Nigeria: 193 milionë Bangladesh: 165 milionë Etiopi: 107 milionë Kongo: 84 milionë Britania e Madhe: 66 milionë ‘Pakicat etnike’ Mos më bëj të qesh me gjithë shpirt!,"These are numbers of residents in countries, not ethnic grouping.",MIGRANTS,V1
33,"E mora këtë në Wanstead, lindje të Londrës. Një zonë me shtëpi mbi 1 milion paund. Lypsarë në rrugën kryesore dhe dikush që fle në stol. Nuk mund t’i strehojmë njerëzit tanë por sjellim miliona të tjerë. Të thuash se të pastrehët janë për shkak të emigracionit të pakontrolluar do të të quajnë ‘racist’. (Titull mbi një foto të një të pastrehu që fle në stol)",There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,MIGRANTS,V1
34,"Kur ju kafshët ta keni shkatërruar botën dhe të filloni të hani njëri-tjetrin, sepse për këtë jeni të mirë, ne do të jemi ende këtu, duke mbajtur të pastër gjakun tonë kundër çdo gjase, duke u penduar për ditën kur dëgjuam gratë dhe hoqëm takat nga fytet tuaja.",The womenfolk appear to have wisdom and not a little heart.,WOMEN,V1
35,Ndoshta OKB-ja mund të flasë me ato vende aziatike dhe afrikane që janë përgjegjëse për mbi 90% të ndotjes së oqeaneve në vend që të këmbëngulë në këtë budallallëk për ndryshimet klimatike.,"The US is the second most polluting country in the world - as the world’s biggest industrial and commercial power. We are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.",other,V1
36,"Fuqia e tyre për të ndaluar filma dhe për të ndëshkuar regjisorë është dëshmi se hebrenjtë kontrollojnë Hollywood-in.","The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.",JEWS,V1
37,"Feministet kanë fituar. Me kaq shumë gra që nuk duan të riprodhojnë do të zëvendësohemi dhe do ta humbasim qytetërimin.","The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",WOMEN,V1
38,"Gratë janë në thelb si fëmijë, të tilla mbeten shumicën e jetës së tyre. Të buta dhe emocionale. Kjo e ka shkatërruar qytetërimin tonë dikur të madh patriarkal.",The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men. It is a question of survival and happiness to accept our differences and similarities and to work together.,WOMEN,V1
39,"Nazistët ishin të dobët në vrasjen e hebrenjve… kudo që shikon ka një të mbijetuar të Holokaustit.",The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,JEWS,V1
40,"Nazistët ishin të dobët në vrasjen e hebrenjve… kudo që shikon ka një të mbijetuar të Holokaustit.",The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.,JEWS,V1
41,"‘Holokausti’ është një biznes. Ka qenë dhe vazhdon të përdoret për të zhvaturr miliona nga vendet europiane si reparacione dhe për të krijuar një mur paprekshmërie pas të cilit hebrenjtë mund të veprojnë pa kritika.","The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",JEWS,V1
42,"Qeveria e MB ka publikuar së fundmi një dokument mbi ‘Dëmet Online’ – me fjalë të tjera ata do të punojnë me organizatat hebraike dhe myslimane kundër urrejtjes për të censuruar internetin. (Duke iu referuar Tell Mama, CST dhe Stop Hate UK)",The internet has become a shouting platform for people's hateful views. Of course something needs to be done since people don't seem able to moderate their words themselves.,other,V1
43,"Nazistët ishin të dobët në vrasjen e hebrenjve… kudo që shikon ka një të mbijetuar të Holokaustit.","The holocaust was hugely tragic, and we are blessed to have holocaust survivors to hear from. They tell an important story that we must learn from.",JEWS,V1
44,"Raca është një konstrukt shoqëror, dhe nëse sheh ndonjë ndryshim mes këtyre dy grave, është sepse ke një sëmundje mendore. [imazh që tregon një atlete femër europiane bjonde, krahas një gruaje afrikane me pjatë buzësh]","the difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference.",POC,V1
